date,total_orders,fulfillment_rate,avg_delivery_days,shipping_cost,stockout_events,inventory_value,warehouse_utilization_pct
2026-02-11 10:15:52.463206,131,75.12700869384285,5.534118843043579,13362.503386685426,0,1091286.6767861336,94.37948350158213
2026-02-12 10:15:52.463206,94,93.75561285446119,5.143098736299034,7486.142056719054,4,1319313.6375904148,81.41727713088854
2026-02-13 10:15:52.463206,151,91.25771890849519,3.361159080217633,5864.420213547017,6,1950061.9670508048,74.12433648548541
2026-02-14 10:15:52.463206,140,91.76716486494271,6.341209982356952,10124.813887041852,9,1950607.146937556,63.92874273288475
2026-02-15 10:15:52.463206,100,92.73921797377676,4.283120259886943,14297.702515768591,9,1573437.888123286,86.62077588681268
2026-02-16 10:15:52.463206,154,76.70302698988408,3.746074041599417,11656.327763424702,5,1631837.2121697993,80.81290276492456
2026-02-17 10:15:52.463206,154,83.24471175651827,3.1631005662190557,10270.672870983015,4,1448445.5219783199,57.317762270520106
2026-02-18 10:15:52.463206,103,77.66498836907799,5.363571772752968,5068.9414314784535,3,1293210.7716980646,90.99172330222291
2026-02-19 10:15:52.463206,82,94.85137879513866,5.71025744736913,10765.079493690868,1,1328664.545369916,87.01417593154261
2026-02-20 10:15:52.463206,101,89.33585691703384,3.0663513157114246,14890.592351146895,3,1672518.4560770383,92.74099609813658
2026-02-21 10:15:52.463206,132,82.61065457161094,5.048372233197124,5540.924167601765,9,1752374.52943768,82.6573778774762
2026-02-22 10:15:52.463206,81,76.46184205657855,3.905983100791752,9701.626176001104,9,1791579.0437258487,77.60368381711055
2026-02-23 10:15:52.463206,109,82.15259339946023,5.5806911616378,13651.10379120751,2,1789618.142794554,68.82093663307785
2026-02-24 10:15:52.463206,117,82.47921640661518,3.6974657160199658,12148.45479529625,9,1091206.1030486904,91.9727817509306
2026-02-25 10:15:52.463206,81,91.78094210177548,5.763750952409864,11667.173150947947,0,1494420.3047025814,88.97287502751837
2026-02-26 10:15:52.463206,143,89.6638218411699,4.54694138520215,11727.324923858203,7,1057558.7600166444,52.03484015477852
2026-02-27 10:15:52.463206,139,95.4058930792555,6.746919954946938,7954.402663417307,4,1549528.8823237354,51.18651385237634
2026-02-28 10:15:52.463206,100,85.86094327872483,3.550083776583973,7229.510286909427,3,1441530.501373377,66.94085150951223
2026-03-01 10:15:52.463206,112,77.75066765658094,4.364265404201034,12902.97271026365,7,1887704.1827582996,86.47489988518248
2026-03-02 10:15:52.463206,155,91.40463010612888,3.4538940849623563,12911.247341470988,6,1350915.0125520788,94.4274258191725
2026-03-03 10:15:52.463206,137,92.49805611818864,6.698774473114251,13537.79550438114,1,1117067.0164276059,56.76876009965877
2026-03-04 10:15:52.463206,101,87.90937554409841,6.509357413523924,14045.646078121184,0,1142991.6820528358,76.73588219084608
